Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
The Guest,2014,"Mystery, Thriller",100 min,3 wins & 11 nominations.,76,6.7
"20,000 Days on Earth",2014,"Documentary, Drama, Music",97 min,Nominated for 1 BAFTA Film Award. Another 7 wins & 14 nominations.,83,7.5
The Maze Runner,2014,"Action, Mystery, Sci-Fi",113 min,3 wins & 10 nominations.,56,6.8
This Is Where I Leave You,2014,"Comedy, Drama",103 min,1 nomination.,44,6.6
A Walk Among the Tombstones,2014,"Crime, Drama, Mystery",114 min,N/A,57,6.5
Mommy,2014,Drama,139 min,49 wins & 58 nominations.,74,8.1
Tusk,2014,"Comedy, Drama, Horror",102 min,1 win & 4 nominations.,55,5.4
Hector and the Search for Happiness,2014,"Adventure, Comedy, Drama",114 min,2 wins & 1 nomination.,29,7
Khoobsurat,2014,"Comedy, Romance",130 min,2 nominations.,N/A,6.4
Tracks,2014,"Short, Drama, Family",13 min,N/A,N/A,8.2
The Zero Theorem,2013,"Drama, Fantasy, Sci-Fi",107 min,1 win & 6 nominations.,50,6.1
Tazza: The Hidden Card,2014,"Crime, Drama",147 min,1 win & 7 nominations.,N/A,6.9
Art and Craft,2014,Documentary,89 min,2 wins & 1 nomination.,68,7.1
Keep on Keepin' On,2014,Documentary,84 min,14 wins & 8 nominations.,77,7.7
Pump,2014,Documentary,88 min,N/A,56,7.7
Not Cool,2014,Comedy,93 min,N/A,1,5.1
This Ain't No Mouse Music,2013,Documentary,92 min,2 wins & 1 nomination.,N/A,7.3
Yellow Day,2015,"Drama, Family, Fantasy",98 min,N/A,N/A,7.4
Iceman,2014,"Action, Comedy, History",104 min,1 win.,32,4.8
Swim Little Fish Swim,2013,"Comedy, Drama, Music",95 min,4 wins & 8 nominations.,54,7.5
Hollidaysburg,2014,Comedy,88 min,N/A,N/A,5.7
Stop the Pounding Heart,2013,"Documentary, Drama",98 min,5 wins & 6 nominations.,70,6.9
Life's a Breeze,2013,"Comedy, Drama",83 min,2 wins & 3 nominations.,55,6.3
"Mummy, I'm A Zombie",2014,Animation,82 min,4 nominations.,N/A,5.5
The Equalizer,2014,"Action, Crime, Thriller",132 min,1 win & 6 nominations.,57,7.2
The Boxtrolls,2014,"Animation, Adventure, Comedy",96 min,Nominated for 1 Oscar. Another 8 wins & 55 nominations.,61,6.8
Pride,2014,"Biography, Comedy, Drama",119 min,Nominated for 1 Golden Globe. Another 8 wins & 16 nominations.,79,7.8
The Song,2014,"Drama, Music, Romance",116 min,N/A,42,6
Más negro que la noche,2014,Horror,110 min,1 nomination.,N/A,4.1
The Two Faces of January,2014,"Romance, Thriller",96 min,3 nominations.,66,6.2
Jimi: All Is by My Side,2013,"Biography, Drama, Music",118 min,1 win & 8 nominations.,66,5.6
Björk: Biophilia Live,2014,"Documentary, Music",97 min,1 nomination.,67,7.8
Advanced Style,2014,"Documentary, Biography, Comedy",72 min,N/A,66,7.3
Lilting,2014,"Drama, Romance",91 min,Nominated for 1 BAFTA Film Award. Another 4 wins & 4 nominations.,61,7.2
Believe Me,2014,"Comedy, Drama",93 min,1 nomination.,48,4.9
Two Night Stand,2014,"Comedy, Romance",86 min,1 nomination.,45,6.4
Days and Nights,2014,"Comedy, Drama",92 min,N/A,36,4.8
The Little Bedroom,2010,Drama,87 min,6 wins & 3 nominations.,69,6.9
"Men, Women & Children",2014,"Comedy, Drama",119 min,N/A,38,6.7
Nas: Time Is Illmatic,2014,Documentary,74 min,1 nomination.,72,7.2
,,,,,,
Bang Bang,2014,"Action, Adventure, Comedy",153 min,1 win & 6 nominations.,N/A,5.5
Haider,2014,"Action, Crime, Drama",160 min,14 wins & 31 nominations.,N/A,8.3
Gone Girl,2014,"Crime, Drama, Mystery",149 min,Nominated for 1 Oscar. Another 63 wins & 163 nominations.,79,8.1
Annabelle,2014,"Horror, Mystery",99 min,6 nominations.,37,5.4
Left Behind,2014,"Action, Fantasy, Thriller",110 min,4 nominations.,12,3.1
The Good Lie,2014,Drama,110 min,2 wins & 3 nominations.,65,7.4
Breakup Buddies,2014,"Comedy, Drama, Romance",116 min,2 wins.,N/A,6.4
The Blue Room,2014,"Crime, Thriller",76 min,3 nominations.,72,6.3
The Liberator,2013,"Biography, Drama, History",119 min,1 win & 3 nominations.,51,7.1
The Hero of Color City,2014,"Animation, Family",77 min,N/A,33,4.2
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy, Family",81 min,1 win & 7 nominations.,54,6.2
Dracula Untold,2014,"Action, Drama, Fantasy",92 min,2 wins & 3 nominations.,40,6.3
The Judge,2014,"Crime, Drama",141 min,Nominated for 1 Oscar. Another 3 wins & 8 nominations.,48,7.4
St. Vincent,2014,"Comedy, Drama",102 min,Nominated for 2 Golden Globes. Another 6 wins & 17 nominations.,64,7.3
Addicted,2014,"Drama, Thriller",106 min,N/A,32,5.1
Whiplash,2014,"Drama, Music",107 min,Won 3 Oscars. Another 84 wins & 125 nominations.,88,8.5
Meet the Mormons,2014,Documentary,78 min,N/A,29,7.1
Kill the Messenger,2014,"Biography, Crime, Drama",112 min,1 win & 4 nominations.,60,7
Awake: The Life of Yogananda,2014,Documentary,87 min,N/A,54,7.4
The Overnighters,2014,"Documentary, Drama",102 min,10 wins & 17 nominations.,89,7.5
One Chance,2013,"Biography, Comedy, Drama",103 min,Nominated for 1 Golden Globe. Another 3 wins & 4 nominations.,52,6.8
Dead Snow 2: Red vs. Dead,2014,"Action, Comedy, Horror",100 min,12 wins & 5 nominations.,59,7
Christian Mingle,2014,"Comedy, Romance",103 min,N/A,N/A,4.5
You're Not You,2014,Drama,102 min,1 nomination.,56,7.4
I Am Ali,2014,"Documentary, Biography, Sport",111 min,2 nominations.,55,7
The Devil's Hand,2014,Thriller,86 min,N/A,N/A,4.8
Evolution of a Criminal,2014,Documentary,81 min,1 win & 5 nominations.,76,6.8
Diplomacy,2014,Drama,84 min,3 wins & 3 nominations.,72,7.1
Fury,2014,"Action, Drama, War",134 min,5 wins & 17 nominations.,64,7.6
The Book of Life,2014,"Animation, Adventure, Comedy",95 min,Nominated for 1 Golden Globe. Another 2 wins & 26 nominations.,67,7.3
Birdman,1967–1969,"Animation, Action, Adventure",30 min,N/A,N/A,7
The Best of Me,2014,"Drama, Romance",118 min,N/A,29,6.7
Dear White People,2014,"Comedy, Drama",108 min,14 wins & 25 nominations.,79,6.4
The Tale of the Princess Kaguya,2013,"Animation, Drama, Fantasy",137 min,Nominated for 1 Oscar. Another 11 wins & 34 nominations.,89,8.1
A Matter of Faith,2014,Drama,89 min,N/A,N/A,3.5
Listen Up Philip,2014,"Comedy, Drama",108 min,2 wins & 10 nominations.,76,6.4
God the Father,2014,Documentary,101 min,1 nomination.,N/A,6.1
The Golden Era,2014,"Biography, Drama, Romance",177 min,13 wins & 34 nominations.,57,6.4
Hiroshima Mon Amour,1959,"Drama, Romance",90 min,Nominated for 1 Oscar. Another 6 wins & 5 nominations.,N/A,8
Rudderless,2014,"Comedy, Drama, Music",105 min,1 win.,52,7.5
Stations of the Elevated,1981,Documentary,46 min,N/A,N/A,7.5
Guardian Angel,1994,"Action, Drama, Thriller",97 min,N/A,N/A,4.7
Watchers of the Sky,2014,"Documentary, Biography, History",120 min,4 wins & 2 nominations.,85,6.9
Camp X-Ray,2014,"Drama, War",117 min,6 nominations.,54,7
Eternity: The Movie,2014,"Comedy, Music, Musical",88 min,1 win & 1 nomination.,28,7.5
The Hacker Wars,2014,"Documentary, Crime",91 min,1 win.,N/A,6.6
Algorithms,2013,"Documentary, Sport",100 min,1 win.,63,6.5
Ouija,2014,Horror,89 min,1 win.,38,4.4
John Wick,2014,"Action, Thriller",101 min,4 wins & 6 nominations.,68,7.2
Citizenfour,2014,"Documentary, Biography, History",114 min,Won 1 Oscar. Another 42 wins & 34 nominations.,88,8.1
Force Majeure,2014,"Comedy, Drama",120 min,Nominated for 1 Golden Globe. Another 31 wins & 33 nominations.,87,7.3
Laggies,2014,"Comedy, Romance",99 min,1 win & 1 nomination.,63,6.4
23 Blast,2014,"Drama, Family, Sport",98 min,1 win.,45,6.2
Goodbye to Language,2014,Drama,70 min,3 wins & 17 nominations.,75,5.9
,,,,,,
The Principle,2014,"News, Sci-Fi, Thriller",90 min,N/A,N/A,5.4
Low Down,2014,"Biography, Drama, Music",114 min,2 wins & 3 nominations.,58,6.2
"1,000 Times Good Night",2013,"Drama, War",117 min,6 wins & 10 nominations.,57,7.1
White Bird in a Blizzard,2014,"Drama, Mystery, Thriller",91 min,2 nominations.,51,6.4
Life of Riley,2014,"Comedy, Drama, Romance",108 min,2 wins & 1 nomination.,70,6
Two-Bit Waltz,2014,"Comedy, Drama, Family",81 min,N/A,N/A,4.9
Rhymes for Young Ghouls,2013,Drama,88 min,4 wins & 5 nominations.,N/A,6.5
Revenge of the Mekons,2013,Documentary,95 min,N/A,77,7.2
The Great Invisible,2014,Documentary,92 min,1 win & 5 nominations.,72,6.6
Nightcrawler,2014,"Crime, Thriller",117 min,Nominated for 1 Oscar. Another 42 wins & 112 nominations.,76,7.9
Before I Go to Sleep,2014,"Drama, Mystery, Thriller",92 min,N/A,41,6.3
,,,,,,
Horns,2013,"Drama, Fantasy, Thriller",120 min,4 wins & 2 nominations.,46,6.5
The Cabinet of Dr. Caligari,1920,"Fantasy, Horror, Mystery",67 min,N/A,N/A,8.1
ABCs of Death 2,2014,"Comedy, Horror",125 min,1 nomination.,53,5.5
Plot for Peace,2013,"Documentary, History, Thriller",84 min,5 wins & 5 nominations.,75,7
Showrunners: The Art of Running a TV Show,2014,"Documentary, Biography, News",90 min,N/A,68,6.8
Missionary,2013,"Drama, Thriller",90 min,N/A,48,5.3
Missionary,2013,"Drama, Thriller",90 min,N/A,48,5.3
Interstellar,2014,"Adventure, Drama, Sci-Fi",169 min,Won 1 Oscar. Another 36 wins & 122 nominations.,74,8.6
National Gallery,2014,Documentary,180 min,9 nominations.,89,7.4
Big Hero 6,2014,"Animation, Action, Adventure",102 min,Won 1 Oscar. Another 13 wins & 52 nominations.,74,7.9
The Theory of Everything,2014,"Biography, Drama, Romance",123 min,Won 1 Oscar. Another 24 wins & 114 nominations.,72,7.7
On Any Sunday: The Next Chapter,2014,"Documentary, Action, Adventure",90 min,N/A,53,7.1
Elsa & Fred,2014,"Comedy, Drama, Romance",97 min,1 win & 1 nomination.,49,6.6
The Way He Looks,2014,"Drama, Romance",96 min,23 wins & 13 nominations.,71,8
The Better Angels,2014,"Biography, Drama, History",95 min,1 nomination.,53,6.1
,,,,,,
Why Don't You Play in Hell?,2013,"Action, Comedy, Drama",129 min,8 wins & 11 nominations.,68,7.2
Actress,2014,"Documentary, Drama",86 min,2 wins & 12 nominations.,76,6.1
Bhopal: A Prayer for Rain,2014,"Drama, History",96 min,1 nomination.,50,7.4
Death Metal Angola,2012,"Documentary, Music, War",90 min,1 win & 1 nomination.,68,7.5
Open Windows,2014,"Action, Crime, Thriller",100 min,2 wins & 5 nominations.,47,5.2
Mr. Pip,2012,"Drama, War",116 min,6 wins & 8 nominations.,N/A,7.2
The Tower,2012,"Action, Comedy, Drama",121 min,N/A,N/A,6.5
Gladiators of Rome,2013,"Animation, Adventure, Comedy",94 min,N/A,N/A,5.2
The Sacrifice,1986,Drama,149 min,Won 1 BAFTA Film Award. Another 7 wins & 2 nominations.,N/A,8.2
Dumb and Dumber To,2014,Comedy,109 min,1 win & 6 nominations.,36,5.7
Beyond the Lights,2014,"Drama, Music",116 min,Nominated for 1 Oscar. Another 4 wins & 21 nominations.,73,6.9
Foxcatcher,2014,"Biography, Drama, Sport",134 min,Nominated for 5 Oscars. Another 11 wins & 71 nominations.,81,7
Rosewater,2014,"Biography, Drama",103 min,1 win & 1 nomination.,67,6.6
,,,,,,
The Homesman,2014,"Drama, Western",122 min,4 wins & 14 nominations.,68,6.6
Le Jour se Leve,1939,"Crime, Drama, Romance",93 min,1 nomination.,N/A,7.8
Wolves,2014,"Action, Horror",91 min,N/A,37,5.3
The Hunger Games: Mockingjay - Part 1,2014,"Adventure, Sci-Fi, Thriller",123 min,Nominated for 1 Golden Globe. Another 10 wins & 21 nominations.,64,6.7
A Girl Walks Home Alone at Night,2014,"Drama, Horror",101 min,6 wins & 19 nominations.,81,7
Happy Ending,2014,"Comedy, Romance",135 min,1 win & 2 nominations.,N/A,5.5
Monk with a Camera,2014,"Documentary, Biography, News",90 min,1 nomination.,56,6.8
The King and the Mockingbird,1980,"Animation, Family, Fantasy",83 min,1 win & 1 nomination.,87,8.1
Happy Valley,2014–,"Crime, Drama",58 min,8 wins & 7 nominations.,N/A,8.5
Sleepwalker,2000,"Mystery, Horror, Thriller",95 min,1 win & 1 nomination.,N/A,5.9
V/H/S Viral,2014,"Action, Fantasy, Horror",81 min,N/A,31,4.2
Penguins of Madagascar,2014,"Animation, Adventure, Comedy",92 min,6 nominations.,53,6.7
Horrible Bosses 2,2014,"Comedy, Crime",108 min,1 win & 2 nominations.,40,6.3
Women Who Flirt,2014,Comedy,97 min,1 nomination.,N/A,5.9
Dr. Cabbie,2014,Comedy,101 min,1 win.,N/A,6.6
The Immortalists,2014,"Documentary, Drama",78 min,1 win & 2 nominations.,53,6.3
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,Won 1 Oscar. Another 43 wins & 143 nominations.,73,8.1
The Babadook,2014,"Drama, Horror, Thriller",93 min,49 wins & 56 nominations.,86,6.8
Antarctica: A Year on Ice,2013,"Documentary, Adventure, Biography",91 min,18 wins & 3 nominations.,69,7.6
Touch the Wall,2014,"Documentary, Family, Sport",101 min,N/A,N/A,9.1
Before I Disappear,2014,Drama,93 min,16 wins & 8 nominations.,47,7.2
Aftermath,2014,"Short, Drama",8 min,1 win.,N/A,6.9
Wild,2014,"Adventure, Biography, Drama",115 min,Nominated for 2 Oscars. Another 8 wins & 62 nominations.,76,7.1
Zero Motivation,2014,"Comedy, Drama",97 min,9 wins & 9 nominations.,69,7.4
The Pyramid,2014,"Action, Adventure, Horror",89 min,N/A,24,4.7
She's Beautiful When She's Angry,2014,"Documentary, History",92 min,2 nominations.,80,7
Action Jackson,2014,"Action, Comedy, Drama",144 min,5 nominations.,N/A,3.3
The One I Wrote for You,2014,"Drama, Family, Music",110 min,N/A,N/A,5.7
The Passionate Thief,1960,"Comedy, Drama",106 min,N/A,N/A,7.4
Uzumasa Limelight,2014,"Action, Drama",103 min,2 wins & 1 nomination.,N/A,5
Concerning Violence,2014,"Documentary, Drama, History",78 min,3 wins & 8 nominations.,80,7.3
Comet,2014,"Comedy, Drama, Romance",91 min,2 nominations.,52,6.7
Life Partners,2014,"Comedy, Romance",93 min,1 nomination.,57,6.2
Pioneer,2013,Thriller,111 min,3 wins & 4 nominations.,58,6
Magician: The Astonishing Life and Work of Orson Welles,2014,"Documentary, Biography",91 min,2 nominations.,67,6.7
Exodus: Gods and Kings,2014,"Action, Adventure, Drama",150 min,4 nominations.,52,6.1
Top Five,2014,"Comedy, Romance",102 min,7 wins & 19 nominations.,81,6.5
Inherent Vice,2014,"Comedy, Crime, Drama",148 min,Nominated for 2 Oscars. Another 14 wins & 88 nominations.,81,6.7
Back in Time,2015,"Documentary, Family, History",95 min,N/A,N/A,6.3
Six Dance Lessons in Six Weeks,2014,"Comedy, Drama",107 min,N/A,50,6.9
Tip Top,2013,"Comedy, Thriller",106 min,1 win & 1 nomination.,64,4.8
Free the Nipple,2014,"Comedy, Drama",78 min,N/A,33,3.8
Maidan,2014,Documentary,134 min,2 wins & 3 nominations.,86,6.6
We Are the Giant,2014,Documentary,92 min,1 win & 1 nomination.,52,7.1
Rakuen Tsuiho: Expelled from Paradise,2014,"Animation, Sci-Fi",104 min,N/A,N/A,7
The Hobbit: The Battle of the Five Armies,2014,"Adventure, Fantasy",144 min,Nominated for 1 Oscar. Another 5 wins & 45 nominations.,59,7.5
Goodbye to All That,2014,"Comedy, Drama, Romance",87 min,1 win & 1 nomination.,62,5.2
"If You Don't, I Will",2014,Comedy,102 min,2 nominations.,68,5.8
Anything for Alice,2014,Comedy,99 min,1 win.,N/A,5.3
Night at the Museum: Secret of the Tomb,2014,"Adventure, Comedy, Family",98 min,1 win & 3 nominations.,47,6.2
Annie,2014,"Comedy, Drama, Family",118 min,Nominated for 2 Golden Globes. Another 2 wins & 10 nominations.,33,5.2
P.K. and the Kid,1987,Drama,89 min,N/A,N/A,5.3
Mr. Turner,2014,"Biography, Drama, History",150 min,Nominated for 4 Oscars. Another 19 wins & 55 nominations.,94,6.9
Song of the Sea,2014,"Animation, Family, Fantasy",93 min,Nominated for 1 Oscar. Another 12 wins & 17 nominations.,85,8.2
A Tale of Winter,1992,Drama,114 min,2 wins & 1 nomination.,N/A,7.6
,,,,,,
"Two Days, One Night",2014,Drama,95 min,Nominated for 1 Oscar. Another 37 wins & 73 nominations.,89,7.4
Wei ai zhi jian ru jia jing,2014,Comedy,135 min,N/A,N/A,4.5
American Sniper,2014,"Action, Biography, Drama",133 min,Won 1 Oscar. Another 16 wins & 33 nominations.,72,7.3
Into the Woods,2014,"Adventure, Fantasy, Musical",125 min,Nominated for 3 Oscars. Another 10 wins & 63 nominations.,69,6
Unbroken,2014,"Biography, Drama, Sport",137 min,Nominated for 3 Oscars. Another 13 wins & 24 nominations.,59,7.2
Selma,2014,"Biography, Drama, History",128 min,Won 1 Oscar. Another 55 wins & 83 nominations.,89,7.5
The Gambler,2014,"Crime, Drama, Thriller",111 min,1 nomination.,55,6
Big Eyes,2014,"Biography, Crime, Drama",106 min,Won 1 Golden Globe. Another 1 win & 15 nominations.,62,7
The Interview,2014,Comedy,112 min,1 win & 3 nominations.,52,6.6
Ode to My Father,2014,"Drama, Romance, War",126 min,12 wins & 10 nominations.,N/A,7.7
Leviathan,2014,Drama,140 min,Nominated for 1 Oscar. Another 25 wins & 36 nominations.,92,7.7
A Most Violent Year,2014,"Action, Crime, Drama",125 min,Nominated for 1 Golden Globe. Another 13 wins & 44 nominations.,79,7
