Title,Year,Genre,Runtime,Awards,Metascore,imdbRating
Her Majesty,2001,Family,107 min,16 wins & 5 nominations.,46,7.1
,,,,,,
People Say I'm Crazy,2003,Documentary,84 min,3 wins.,69,7.9
Superstar in a Housedress,2004,"Documentary, Biography",95 min,N/A,71,7.6
Van Helsing,2004,"Action, Adventure, Fantasy",131 min,2 wins & 17 nominations.,35,6
New York Minute,2004,Comedy,91 min,4 nominations.,33,4.8
Super Size Me,2004,"Documentary, Comedy, Drama",100 min,Nominated for 1 Oscar. Another 7 wins & 11 nominations.,73,7.3
,,,,,,
Still We Believe: The Boston Red Sox Movie,2004,"Documentary, Sport",N/A,N/A,N/A,7.2
Valentin,2002,"Comedy, Drama, Romance",86 min,14 wins & 8 nominations.,52,7.7
Seeing Other People,2004,"Comedy, Romance",90 min,2 wins.,51,5.9
The Mudge Boy,2003,"Crime, Drama, Romance",94 min,1 win & 2 nominations.,62,7.2
A Foreign Affair,1948,"Comedy, Drama, Romance",116 min,Nominated for 2 Oscars. Another 1 nomination.,N/A,7.5
Off the Lip,2004,"Adventure, Comedy, Sport",87 min,N/A,30,5.5
Reeseville,2003,"Mystery, Thriller",99 min,N/A,N/A,5.7
Oasis,2002,"Drama, Romance",133 min,13 wins & 2 nominations.,79,8
Wasabi Tuna,2003,"Action, Comedy, Crime",92 min,N/A,N/A,3.5
Justice,2006–2007,"Crime, Drama, Thriller",60 min,N/A,N/A,8
Troy,2004,Adventure,163 min,Nominated for 1 Oscar. Another 3 wins & 19 nominations.,56,7.2
Breakin' All the Rules,2004,"Comedy, Romance",85 min,1 win & 5 nominations.,46,5.5
A Day Without a Mexican,2004,"Comedy, Drama, Fantasy",100 min,3 wins & 2 nominations.,30,4.7
Coffee and Cigarettes,2003,"Comedy, Drama, Music",95 min,2 wins & 7 nominations.,65,7.1
Strayed,2003,"Drama, Romance, War",95 min,1 win & 5 nominations.,70,6.6
,,,,,,
Carandiru,2003,"Drama, Crime",145 min,13 wins & 26 nominations.,71,7.6
A Slipping-Down Life,1999,"Drama, Music, Romance",109 min,2 wins & 2 nominations.,44,6.2
Springtime in a Small Town,2002,"Drama, Romance",116 min,4 wins & 3 nominations.,86,7
After Freedom,2002,Drama,87 min,N/A,N/A,6.4
The 24th Day,2004,Thriller,92 min,N/A,29,6.6
With All Deliberate Speed,2004,"Documentary, History",110 min,N/A,60,7.7
The Last Place on Earth,1985,Drama,396 min,N/A,N/A,8.4
Shrek 2,2004,"Animation, Adventure, Comedy",93 min,Nominated for 2 Oscars. Another 15 wins & 47 nominations.,75,7.2
,,,,,,
Control Room,2004,Documentary,84 min,9 wins & 9 nominations.,79,7.8
Love Me If You Dare,2003,"Comedy, Drama, Romance",93 min,5 wins & 2 nominations.,45,7.7
Yuva,2004,"Action, Adventure, Crime",161 min,12 wins & 14 nominations.,63,7.5
Stateside,2004,"Drama, Music, Romance",97 min,1 win.,35,6
My Mother Likes Women,2002,"Comedy, Drama",96 min,12 wins & 8 nominations.,51,6.3
Twist,2003,Drama,97 min,1 win & 3 nominations.,39,6.4
The Five Obstructions,2003,Documentary,90 min,2 wins & 2 nominations.,79,7.5
Frankie and Johnny Are Married,2003,Comedy,95 min,2 wins.,44,5.9
The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",124 min,Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.,47,6.4
Raising Helen,2004,"Comedy, Drama, Romance",119 min,1 nomination.,38,6
Soul Plane,2004,Comedy,86 min,1 nomination.,33,4.3
Saved!,2004,"Comedy, Drama",92 min,1 win & 6 nominations.,62,6.9
The Mother,2003,"Drama, Romance",112 min,Nominated for 1 BAFTA Film Award. Another 2 wins & 11 nominations.,72,6.9
Hum Tum,2004,"Drama, Romance, Comedy",142 min,13 wins & 24 nominations.,N/A,7.1
Baadasssss!,2003,"Biography, Drama",109 min,4 wins & 9 nominations.,75,7.4
Bukowski: Born into This,2003,"Documentary, Biography",130 min,1 nomination.,77,7.9
Word Wars,2004,"Documentary, Comedy",80 min,2 wins & 2 nominations.,61,6.9
The Burial Society,2002,Thriller,94 min,7 wins & 7 nominations.,53,6
Wake,2009,"Comedy, Drama, Romance",97 min,N/A,N/A,5.7
,,,,,,
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,Nominated for 2 Oscars. Another 13 wins & 41 nominations.,82,7.8
The Corporation,2003,"Documentary, History",145 min,11 wins & 1 nomination.,73,8.2
The Story of the Weeping Camel,2003,"Documentary, Drama, Family",93 min,Nominated for 1 Oscar. Another 10 wins & 7 nominations.,81,7.5
Firedancer,2002,Drama,79 min,N/A,46,7.5
Imelda,2003,"Documentary, Biography",103 min,2 wins & 1 nomination.,69,7.5
,,,,,,
The Stepford Wives,2004,"Comedy, Sci-Fi, Thriller",93 min,3 wins.,42,5.2
The Chronicles of Riddick,2004,"Action, Adventure, Sci-Fi",119 min,4 nominations.,38,6.7
Napoleon Dynamite,2004,Comedy,96 min,10 wins & 22 nominations.,64,6.9
"Broadway: The Golden Age, by the Legends Who Were There",2003,"Documentary, History, Music",111 min,5 wins & 1 nomination.,72,8.4
,,,,,,
Dev,2004,Drama,172 min,2 wins & 7 nominations.,N/A,7.1
Imagining Argentina,2003,"Drama, Romance, Thriller",107 min,1 nomination.,27,6.3
Around the World in 80 Days,2004,"Action, Adventure, Comedy",120 min,2 nominations.,49,5.8
Seducing Doctor Lewis,2003,Comedy,108 min,15 wins & 17 nominations.,59,7.5
I'll Sleep When I'm Dead,2003,"Crime, Drama, Mystery",103 min,1 nomination.,56,5.9
Dodgeball: A True Underdog Story,2004,"Comedy, Sport",92 min,2 wins & 7 nominations.,55,6.7
The Terminal,2004,"Comedy, Drama",128 min,5 wins & 3 nominations.,55,7.3
Lakshya,2004,"War, Drama, Romance",186 min,3 wins & 10 nominations.,N/A,8
Facing Windows,2003,"Drama, Romance",102 min,23 wins & 16 nominations.,55,7.4
The Hunting of the President,2004,Documentary,90 min,1 nomination.,53,7.1
Howard Zinn: You Can't Be Neutral on a Moving Train,2004,Documentary,78 min,1 win.,65,7.5
You'll Get Over It,2002,"Drama, Romance, Sport",86 min,N/A,52,6.9
Father and Son,2003,Drama,97 min,2 wins & 1 nomination.,64,6.7
Saints and Sinners,1994,"Action, Crime, Drama",100 min,1 win & 1 nomination.,N/A,5.4
Swing,2002,"Comedy, Drama, Music",90 min,N/A,N/A,7.2
Fahrenheit 9/11,2004,"Documentary, Comedy, Drama",122 min,29 wins & 15 nominations.,67,7.5
White Chicks,2004,"Crime, Comedy",109 min,2 wins & 8 nominations.,41,5.4
,,,,,,
The Notebook,2004,"Drama, Romance",123 min,12 wins & 9 nominations.,53,7.9
Two Brothers,2004,"Adventure, Drama, Family",109 min,2 wins & 2 nominations.,63,7.1
Deewaar,1975,"Action, Crime, Drama",174 min,7 wins.,N/A,8.2
Time of the Wolf,2003,"Drama, Romance",114 min,2 wins & 1 nomination.,71,6.6
Kaena: The Prophecy,2003,"Animation, Adventure, Family",85 min,2 nominations.,40,6.2
The Intended,2002,"Drama, Thriller",110 min,N/A,42,6.2
Spider-Man 2,2004,"Action, Adventure, Fantasy",127 min,Won 1 Oscar. Another 23 wins & 51 nominations.,83,7.3
The Road to Love,2001,Drama,70 min,N/A,N/A,6.9
De-Lovely,2004,"Biography, Drama, Music",125 min,Nominated for 2 Golden Globes. Another 1 win & 11 nominations.,53,6.6
Before Sunset,2004,"Drama, Romance",80 min,Nominated for 1 Oscar. Another 9 wins & 27 nominations.,90,8
The Clearing,2004,"Drama, Mystery, Thriller",95 min,1 nomination.,60,5.9
,,,,,,
,,,,,,
Deserted Station,1965,Short,7 min,N/A,N/A,N/A
King Arthur,2004,"Action, Adventure, Drama",126 min,4 wins & 8 nominations.,46,6.3
Anchorman: The Legend of Ron Burgundy,2004,Comedy,94 min,1 win & 11 nominations.,63,7.2
Sleepover,2004,Comedy,89 min,1 win & 3 nominations.,33,5.3
Camping sauvage,2004,"Comedy, Crime",100 min,1 win & 4 nominations.,N/A,5.9
Riding Giants,2004,"Documentary, History, Sport",105 min,1 win & 1 nomination.,80,7.9
Metallica: Some Kind of Monster,2004,"Documentary, Music",141 min,5 wins & 3 nominations.,74,7.5
The Inheritance,2003,Drama,115 min,17 wins & 6 nominations.,68,7.3
The Door in the Floor,2004,"Comedy, Drama",111 min,2 wins & 7 nominations.,67,6.7
Let's Get Frank,2003,Documentary,75 min,N/A,54,7.5
"I, Robot",2004,"Action, Mystery, Sci-Fi",115 min,Nominated for 1 Oscar. Another 1 win & 13 nominations.,59,7.1
A Cinderella Story,2004,"Comedy, Family, Romance",95 min,6 wins & 8 nominations.,25,5.9
Maria Full of Grace,2004,"Crime, Drama",101 min,Nominated for 1 Oscar. Another 40 wins & 32 nominations.,87,7.5
Touch of Pink,2004,"Drama, Comedy, Romance",91 min,4 nominations.,46,6.6
,,,,,,
Flavors,2003,Comedy,118 min,1 win.,46,7.3
Freestyle: The Art of Rhyme,2000,"Documentary, Music",60 min,4 wins.,63,7.7
The Bourne Supremacy,2004,"Action, Thriller",108 min,5 wins & 21 nominations.,73,7.8
Catwoman,2004,"Action, Crime, Fantasy",104 min,7 wins & 6 nominations.,27,3.3
Festival Express,2003,"Documentary, History, Music",90 min,2 nominations.,85,7.6
A Home at the End of the World,2004,"Drama, Romance",97 min,1 win & 4 nominations.,59,6.8
,,,,,,
Ju-on: The Grudge,2002,Horror,92 min,1 win & 1 nomination.,48,6.7
Orwell Rolls in His Grave,2003,Documentary,84 min,N/A,49,8.1
Asambhav,2004,"Action, Adventure, Drama",139 min,1 nomination.,N/A,3.6
Free Radicals,1958,"Animation, Short, Musical",5 min,1 win.,N/A,6.3
Garden State,2004,"Comedy, Drama, Romance",102 min,13 wins & 37 nominations.,67,7.6
She Hate Me,2004,"Comedy, Drama",138 min,1 win & 6 nominations.,28,5.3
Los Angeles Plays Itself,2003,"Documentary, History",169 min,3 wins & 1 nomination.,86,8
The Village,2004,"Drama, Mystery, Romance",108 min,Nominated for 1 Oscar. Another 4 wins & 19 nominations.,44,6.5
The Manchurian Candidate,2004,"Drama, Mystery, Sci-Fi",129 min,Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,76,6.6
,,,,,,
Thunderbirds,2004,"Action, Adventure, Comedy",95 min,N/A,36,4.2
Intimate Strangers,2004,"Drama, Romance, Thriller",104 min,3 nominations.,71,7.1
Mujhse Shaadi Karogi,2004,"Comedy, Romance",163 min,6 wins & 28 nominations.,N/A,6.9
Rosenstrasse,2003,"Drama, War",136 min,8 wins & 3 nominations.,49,6.8
Proteus,1995,"Horror, Sci-Fi, Thriller",97 min,N/A,N/A,3.6
Gozu,2003,"Crime, Drama, Horror",129 min,5 wins & 2 nominations.,58,7.1
RRRrrrr!!!,2004,"Comedy, Crime, Sci-Fi",94 min,N/A,N/A,5.8
Transfixed,2001,Drama,105 min,1 win & 1 nomination.,34,5.6
,,,,,,
Collateral,2004,"Crime, Drama, Thriller",120 min,Nominated for 2 Oscars. Another 22 wins & 64 nominations.,71,7.6
Open Water,2003,"Biography, Drama, Horror",79 min,2 wins & 6 nominations.,63,5.7
Little Black Book,2004,"Comedy, Romance, Drama",111 min,1 nomination.,36,5.2
Saints and Soldiers,2003,"Action, Adventure, Drama",90 min,16 wins & 2 nominations.,56,6.8
Outfoxed: Rupert Murdoch's War on Journalism,2004,Documentary,78 min,N/A,58,7.7
Code 46,2003,"Drama, Romance, Sci-Fi",93 min,4 wins & 10 nominations.,57,6.3
Last Life in the Universe,2003,"Comedy, Drama, Romance",112 min,8 wins & 11 nominations.,73,7.6
Stander,2003,"Action, Biography, Crime",111 min,3 nominations.,62,7.3
Bang Rajan,2000,"Action, Drama, History",71 min,3 wins & 1 nomination.,59,6.7
The Other World,2012,"Short, Adventure, Drama",N/A,N/A,N/A,N/A
The Princess Diaries 2: Royal Engagement,2004,"Comedy, Family, Romance",113 min,1 win & 2 nominations.,43,5.7
Danny Deckchair,2003,"Comedy, Romance",100 min,2 nominations.,56,6.8
Cowards Bend the Knee or The Blue Hands,2003,"Drama, Romance",60 min,1 win & 1 nomination.,82,7.1
CR: Alien vs. Predator,2007,Sci-Fi,N/A,N/A,N/A,6.8
,,,,,,
We Don't Live Here Anymore,2004,"Drama, Romance",101 min,2 wins & 4 nominations.,66,6.4
,,,,,,
L.A. Twister,2004,Comedy,92 min,3 wins.,29,6.3
,,,,,,
Anatomy 2,2003,"Horror, Sci-Fi, Thriller",101 min,1 win & 2 nominations.,46,5.1
The Life and Times of Allen Ginsberg Deluxe Set,2008,Documentary,680 min,N/A,N/A,7.1
Without a Paddle,2004,"Adventure, Comedy, Mystery",95 min,N/A,29,5.9
Exorcist: The Beginning,2004,"Horror, Mystery, Thriller",114 min,3 nominations.,30,5.1
Benji: Off the Leash!,2004,"Drama, Family",97 min,1 win.,49,4.5
Going the Distance,2004,"Comedy, Romance",93 min,1 nomination.,N/A,5.6
Nicotina,2003,"Action, Comedy, Crime",90 min,12 wins & 12 nominations.,49,6.7
Bright Young Things,2003,"Comedy, Drama, War",102 min,10 nominations.,64,6.7
Red Lights,2012,"Drama, Mystery, Thriller",114 min,2 nominations.,36,6.2
Mean Creek,2004,"Crime, Drama",90 min,4 wins & 4 nominations.,74,7.3
,,,,,,
Uncovered: The War on Iraq,2004,"Documentary, History, War",83 min,N/A,N/A,7.5
Bush's Brain,2004,Documentary,80 min,N/A,48,6.8
Almost Peaceful,2002,"Comedy, Drama, Romance",94 min,1 win & 1 nomination.,67,6.8
Fida,2004,"Romance, Thriller",122 min,N/A,N/A,5.5
It's Easier for a Camel...,2003,"Adventure, Comedy, Drama",110 min,4 wins & 4 nominations.,53,5.6
Bright Leaves,2003,"Documentary, Biography, Comedy",107 min,7 nominations.,79,7.2
Hero,2002,"Action, Adventure, History",99 min,Nominated for 1 Oscar. Another 33 wins & 30 nominations.,85,7.9
Anacondas: The Hunt for the Blood Orchid,2004,"Adventure, Horror",97 min,1 nomination.,40,4.6
,,,,,,
Suspect Zero,2004,"Crime, Thriller",99 min,N/A,37,5.9
,,,,,,
The Brown Bunny,2003,Drama,93 min,1 win & 3 nominations.,51,5
Dhoom,2004,"Action, Adventure, Thriller",129 min,11 wins & 22 nominations.,N/A,6.7
Crimson Rivers 2: Angels of the Apocalypse,2004,"Action, Crime, Thriller",97 min,N/A,N/A,5.9
Phir Milenge,2004,Drama,N/A,1 win & 5 nominations.,N/A,6.4
