Title,Year
Godzilla: The Japanese Original,
Make Your Move,
Manakamana,
Tasting Menu,
13 Sins,
The Final Member,
Kid Cannabis,
Gabrielle (2014),
Half the Road,
Gringo Trails,
Bicycling with Moliere,
The Other Woman ,2014
Brick Mansions,
The Quiet Ones,
Locke,
Walking with the Enemy,
The German Doctor,
Blue Ruin,
For No Good Reason,
Young and Beautiful,
Next Goal Wins,
Beneath the Harvest Sky,
Othello (2014 re-release),
Bright Days Ahead,
Who is Dayani Cristal?,
Last Passenger,
The Amazing Spider-Man 2,
Belle,
Ida,
Water & Power,
Walk of Shame,
NOW: In the Wings on a World Stage,
Decoding Annie Parker,
For a Woman,
Documented,
The Protector 2,
More Than the Rainbow,
Sol LeWitt,
Neighbors,
Chef,
Moms' Night Out,
Legends of Oz: Dorothy's Return,
Fed Up,
Palo Alto,
The Hornet's Nest,
The Double ,2014
God's Pocket,
Queen Margot ,
In the House of Flies,
Stage Fright (2014),
Horses of God,
Godzilla (2014),
Million Dollar Arm,
The Immigrant,
Chinese Puzzle,
Half of a Yellow Sun,
The Discoverers,
Ai Weiwei: The Fake Case,
A Long Way Off,
The Pleasures of Being Out of Step,
Next Year Jerusalem,
A People Uncounted,
X-Men: Days of Future Past,
Blended,
Words and Pictures,
Kochadaiiyaan,
Cold in July,
The Dance of Reality,
The Love Punch,
Gore Vidal: United States of Amnesia,
Heropanti,
Return to The Hiding Place,
Stand Clear of the Closing Doors,
Accident,
Grand Depart,
Under the Electric Sky,
Maleficent,
A Million Ways to Die in the West,
The Grand Seduction,
Night Moves,
We Are The Best!,
Korengal,
Lucky Them,
Filth,
Elena,
Before You Know It,
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),
The Fault in our Stars,
Edge of Tomorrow,
Obvious Child,
Holiday ,2014
Supermensch: The Legend of Shep Gordon,
Citizen Koch,
Borgman,
Ping Pong Summer,
Filmistaan,
Test,
Tosca's Kiss,
The Sacrament,
Rigor Mortis,
"2 Autumns, 3 Winters",
Anna,
Burning Bush,
22 Jump Street,
How to Train Your Dragon 2,
The Rover,
The Signal ,2014
A Coffee in Berlin,
Ivory Tower,
No Tears for the Dead,
Hellion,
The Amazing Catfish,
Policeman,
Evergreen: The Road to Legalization,
Think Like a Man Too,
Jersey Boys,
Third Person,
Venus in Fur,
Le Chef,
A Summer's Tale,
Code Black,
Coherence,
The Last Sentence,
The Past is a Grotesque Animal,
A Picture of You,
Exhibition,
"Norte, the End of History",
Penton: The John Penton Story,
Yves Saint Laurent,
Transformers: Age of Extinction,
Begin Again,
America ,2014
Snowpiercer,
Ek Villain,
The Breakup Guru,
Whitey: USA v. James J. Bulger,
Siddharth,
The Internet's Own Boy,
Living is Easy with Eyes Closed,
Radio Free Albemuth,
Archipelago,
Nothing Bad Can Happen,
Unrelated,
Postman Pat: The Movie,
Jackpot,
Tammy,
Earth to Echo,
Deliver Us From Evil,
Cinemanovels,
Life Itself,
A Hard Day's Night ,
Lekar Hum Deewana Dil,
Marius,
The Girl on the Train ,2013
Closed Curtain,
Dawn of the Planet of the Apes,
Boyhood,
Land Ho!,
Humpty Sharma Ki Dulhania,
A Long Way Down,
Empty Hours,
The Purge: Anarchy,
Planes: Fire & Rescue,
Sex Tape,
Wish I Was Here,
Persecuted,
I Origins,
A Five Star Life,
Mood Indigo,
Alive Inside,
"Flamenco, Flamenco",
There's No Place Like Utopia,
K: Missing Kings,
Video Games: The Movie,
As It Is In Heaven,
A Letter to Momo,
A Master Builder,
The Endless Summer ,
Lucy,
Hercules (2014),
A Most Wanted Man,
And So It Goes,
Magic in the Moonlight,
The Fluffy Movie,
Kick,
The Divine Move,
Happy Christmas,
The Kill Team,
Fanny,
Come Back to Me,
Very Good Girls,
Manuscripts Don't Burn,
Guardians of the Galaxy,
Get On Up,
Calvary,
Finding Fela,
Rich Hill,
Child of God,
The Strange Little Cat,
Moebius,
